id,slug,variant,section,board,title,description,alt_text,link,image_url,keywords,publish_date
velykodniy-rushnyk_A,velykodniy-rushnyk,A,vyshyti-rushnyky,Вишиті рушники,"Великодній рушник: значення, символіка і як обрати","Великодній рушник — обрядове полотно, яким накривають кошик або паску.

Що всередині: символіка писанкових і рослинних мотивів, святкова гама кольорів, чим великодній рушник відрізняється від хатнього, як обрати готовий або вишити свій.

Повний гід — на ridnavyshyvka.com.ua",Вишитий рушник із червоно-чорним квітковим орнаментом на лляному полотні,https://ridnavyshyvka.com.ua/vyshyti-rushnyky/velykodniy-rushnyk/,https://ridnavyshyvka.com.ua/pins/pin_velykodniy-rushnyk_A.jpg,"великодній рушник, пасхальний рушник, рушник на великодній кошик, українська вишивка, вишивка хрестиком",2026-08-23 08:00
vyshyvka-hrestykom_C,vyshyvka-hrestykom,C,vyshyvka-hrestykom,Вишивка хрестиком,Вишивка хрестиком з нуля: повний гід для початківців,"Хрестик — найпростіша техніка для старту.

Зібрали в одному гіді: яку канву й нитки брати, як читати схему, з чого починати перший мотив і скільки це коштує.","Червоно-чорний орнамент, вишитий хрестиком у деревʼяних пʼяльцях, поруч муліне",https://ridnavyshyvka.com.ua/vyshyvka-hrestykom/,https://ridnavyshyvka.com.ua/pins/pin_vyshyvka-hrestykom_C.jpg,"вишивка хрестиком, вишивка для початківців, схеми хрестиком, канва, муліне",2026-08-23 10:15
borshchivska-sorochka_A,borshchivska-sorochka,A,ukrayinska-vyshyvka,Українська вишивка,Борщівська сорочка: історія й техніка чорної вишивки,"Борщівська сорочка впізнається одразу: густа чорна вовняна вишивка вкриває рукав майже суцільно.

Що всередині: легенда про чорний колір, техніка та мотиви, чим автентична сорочка відрізняється від сувенірної.

Читайте на ridnavyshyvka.com.ua",Чорна вишиванка з густою геометричною вишивкою серед інших регіональних сорочок,https://ridnavyshyvka.com.ua/ukrayinska-vyshyvka/borshchivska-sorochka/,https://ridnavyshyvka.com.ua/pins/pin_borshchivska-sorochka_A.jpg,"борщівська сорочка, чорна вишивка, вишиванка Тернопільщини, регіональні вишиванки, українська вишивка",2026-08-23 11:30
vyshyvanka_C,vyshyvanka,C,vyshyvanka,Вишиванка та орнаменти,"Вишиванка: види, орнаменти та як обрати свою","Вишиванка — не один фасон, а десятки регіональних традицій.

Зібрали головне: види сорочок, з яких тканин їх шиють, що означає орнамент і як не купити сувенірний друк замість вишивки.","Лляна вишиванка з червоно-чорним орнаментом на комірі, манжеті та пазусі",https://ridnavyshyvka.com.ua/vyshyvanka/,https://ridnavyshyvka.com.ua/pins/pin_vyshyvanka_C.jpg,"вишиванка, українська сорочка, як обрати вишиванку, орнаменти вишиванки",2026-08-23 13:45
zagotovky-dlya-vyshyvky-biserom_A,zagotovky-dlya-vyshyvky-biserom,A,vyshyvka-biserom,Вишивка бісером,Заготовки для вишивки бісером: що це і як обрати,"Заготовка — це тканина з нанесеним малюнком і схемою, по якій лишається тільки пришити бісер.

Що всередині: які бувають заготовки, що входить у набір, як перевірити якість друку й тканини і що доведеться докупити окремо.","Бісер червоного, чорного й білого кольорів та голка на тканині поруч зі схемою",https://ridnavyshyvka.com.ua/vyshyvka-biserom/zagotovky-dlya-vyshyvky-biserom/,https://ridnavyshyvka.com.ua/pins/pin_zagotovky-dlya-vyshyvky-biserom_A.jpg,"заготовки для вишивки бісером, набори для вишивки бісером, схеми бісером, вишивка бісером для початківців",2026-08-23 15:00
materialy-dlya-vyshyvky_C,materialy-dlya-vyshyvky,C,materialy-dlya-vyshyvky,Матеріали для вишивки,Матеріали для вишивки: що потрібно купити на старті,"Щоб почати вишивати, вистачає пʼяти речей.

Зібрали базовий список — канва, муліне, голки, пʼяльці, ножиці — з поясненням, що брати одразу, а що можна відкласти.","Пʼяльці, канва, мотки червоного й чорного муліне, голки та ножиці на лляній тканині",https://ridnavyshyvka.com.ua/materialy-dlya-vyshyvky/,https://ridnavyshyvka.com.ua/pins/pin_materialy-dlya-vyshyvky_C.jpg,"матеріали для вишивки, що потрібно для вишивки, канва нитки голки, набір новачка",2026-08-23 17:15
tamburna-vyshyvka_A,tamburna-vyshyvka,A,tehniky-vyshyvky,Техніки вишивки,Тамбурна вишивка: як вишивати тамбурним швом,"Тамбурний шов — це ланцюжок з петель, яким вишивають контури, стебла й суцільні заливки.

Що всередині: техніка голкою і гачком крок за кроком, де застосовують шов і яких помилок припускаються новачки.","Пʼяльці з вишитою червоною квіткою, голка та моток муліне на лляній тканині",https://ridnavyshyvka.com.ua/tehniky-vyshyvky/tamburna-vyshyvka/,https://ridnavyshyvka.com.ua/pins/pin_tamburna-vyshyvka_A.jpg,"тамбурна вишивка, тамбурний шов, вишивка ланцюжком, техніки вишивки, вишивка для початківців",2026-08-23 18:30
ukrayinska-vyshyvka_C,ukrayinska-vyshyvka,C,ukrayinska-vyshyvka,Українська вишивка,"Українська вишивка: історія, регіони та символіка","Вишивка різна на Полтавщині, Поділлі й Гуцульщині — і це видно з першого погляду.

Зібрали основне: як склалася традиція, чим відрізняються регіони, що означають кольори й символи.",Кілька вишитих рушників з червоно-чорними орнаментами на деревʼяному столі,https://ridnavyshyvka.com.ua/ukrayinska-vyshyvka/,https://ridnavyshyvka.com.ua/pins/pin_ukrayinska-vyshyvka_C.jpg,"українська вишивка, історія вишивки, регіональні відмінності, символіка вишивки",2026-08-23 20:45
slovnyk-vyshyvky_A,slovnyk-vyshyvky,A,site,Українська вишивка,Словник вишивальних термінів — простими словами,"Каунт, аїда, рівномірка, складання, бекстіч, ключ до схеми.

Коротко пояснюємо терміни, які трапляються в описах наборів і схем — щоб більше не гуглити кожне слово окремо.","Мотки муліне червоних і чорних відтінків, розкладені віялом на лляній тканині",https://ridnavyshyvka.com.ua/slovnyk-vyshyvky/,https://ridnavyshyvka.com.ua/pins/pin_slovnyk-vyshyvky_A.jpg,"словник вишивальних термінів, каунт, аїда, бекстіч, терміни вишивки",2026-08-24 08:00
vyshyvka-biserom_C,vyshyvka-biserom,C,vyshyvka-biserom,Вишивка бісером,Вишивка бісером — з чого почати новачку,"Бісер тримається на тканині лише за рахунок правильного шва.

Зібрали базу: який бісер брати, чим його пришивати, яка тканина підходить і які шви використовують найчастіше.","Гердан і браслет з червоно-чорного бісеру на лляній тканині, поруч розсипаний бісер",https://ridnavyshyvka.com.ua/vyshyvka-biserom/,https://ridnavyshyvka.com.ua/pins/pin_vyshyvka-biserom_C.jpg,"вишивка бісером, бісер для початківців, бісерні шви, українські прикраси з бісеру",2026-08-24 10:15
rushnyk-na-hrestyny_A,rushnyk-na-hrestyny,A,vyshyti-rushnyky,Вишиті рушники,Рушник на хрестини (крижмо): традиції та символіка,"Крижмо — рушник, у який приймають дитину після хрещення, і родинна реліквія на все життя.

Що всередині: хто дарує крижмо, яку тканину обирають, які орнаменти доречні й чому його не можна різати чи перешивати.

Деталі — на ridnavyshyvka.com.ua","Біла вишивка по білому полотну: квітковий узор, виконаний технікою рішельє",https://ridnavyshyvka.com.ua/vyshyti-rushnyky/rushnyk-na-hrestyny/,https://ridnavyshyvka.com.ua/pins/pin_rushnyk-na-hrestyny_A.jpg,"рушник на хрестини, крижмо, хрестини дитини, біла вишивка, вишитий рушник, українські традиції",2026-08-24 11:30
tehniky-vyshyvky_C,tehniky-vyshyvky,C,tehniky-vyshyvky,Техніки вишивки,Техніки вишивки та види швів — короткий довідник,"Одна тканина, різні шви — і зовсім різний результат.

Зібрали основні техніки української вишивки з поясненням, де кожну застосовують і яка з них найпростіша для старту.",Пʼяльці зі зразками різних технік вишивки та мотки червоного й чорного муліне,https://ridnavyshyvka.com.ua/tehniky-vyshyvky/,https://ridnavyshyvka.com.ua/pins/pin_tehniky-vyshyvky_C.jpg,"техніки вишивки, види швів, українська вишивка, гладь мережка хрестик",2026-08-24 13:45
kalkulyator-rozmiru-vyshyvky_A,kalkulyator-rozmiru-vyshyvky,A,site,Українська вишивка,Калькулятор розміру вишивки: рахує канву за секунду,"Вводите кількість хрестиків і каунт канви — отримуєте готовий розмір роботи в сантиметрах.

Одразу з припуском на рамку. Безкоштовно, без реєстрації.","Два клапті канви різного плетіння, голка з червоною ниткою та мотки муліне",https://ridnavyshyvka.com.ua/kalkulyator-rozmiru-vyshyvky/,https://ridnavyshyvka.com.ua/pins/pin_kalkulyator-rozmiru-vyshyvky_A.jpg,"калькулятор розміру вишивки, розрахунок канви, каунт, скільки канви потрібно",2026-08-24 15:00
shemy-hrestykom_C,shemy-hrestykom,C,vyshyvka-hrestykom,Вишивка хрестиком,Схеми вишивки хрестиком: де брати і як обирати,"Погана схема псує навіть акуратну роботу.

Розповідаємо, де шукати безкоштовні схеми, які формати зручні для друку і за якими ознаками видно, що схему краще не брати.","Паперова схема вишивки хрестиком у клітинку, пʼяльці, канва й муліне на столі",https://ridnavyshyvka.com.ua/vyshyvka-hrestykom/shemy-hrestykom/,https://ridnavyshyvka.com.ua/pins/pin_shemy-hrestykom_C.jpg,"схеми вишивки хрестиком, безкоштовні схеми, схема хрестиком, українські орнаменти",2026-08-24 17:15
